Feature,Importance
"categorical__Main Cause_severe flood(ganga,its  tributaries)",1.0458676891621405e-05
"categorical__State_Assam, Manipur, Arunachal Pradesh",1.0391588632548531e-05
categorical__Main Cause_landslides triggered by heavy rains,1.0266378060305729e-05
"categorical__Main Cause_flood (indrayani, mula, panchganga, pavana)",9.963152504105477e-06
"categorical__Main Cause_heavy rains, landslide",9.916885681599104e-06
categorical__Main Cause_heavy rains & flood (mahi erav river),9.787594297552228e-06
categorical__Main Cause_severe flood (kosi),9.61253251341954e-06
categorical__Main Cause_severe floodi) (narmada),8.99856458001426e-06
categorical__Main Cause_flash flood (palem),8.958988465627581e-06
categorical__Main Cause_heavy rains & flood in tizu river,8.611416366808311e-06
categorical__Main Cause_flash floods triggered by heavy rains,8.429760950403595e-06
"categorical__Main Cause_flood (ghagra, rapti, sarayu,sharda)",7.308251939268912e-06
categorical__Main Cause_heavy rains & floods (yamuna river),7.274039374025416e-06
"categorical__Main Cause_heavy rains, flood & mudslide",7.266115347432005e-06
"categorical__State_Uttar Pradesh , Uttarakhand",7.231402951493681e-06
categorical__Main Cause_mudslide,6.485438335914797e-06
categorical__Main Cause_flood in besla river,5.966637297783685e-06
"categorical__State_Rajasthan, Punjab, Uttar Pradesh",5.679362963924902e-06
"categorical__Main Cause_moderate flood(ganga, yamuna,sohali)",5.5866965222630386e-06
"categorical__Main Cause_floods in ghagra, rapti , burhi,kawano",5.1520757369379546e-06
categorical__Main Cause_unprecedented heavy rain,5.147343654945224e-06
"categorical__Main Cause_severe flood(adhwara, bagmati, burhi gandak, gandak, ganga, ghagra, kamla balan, kosi, kreh, mahananda, punpun,sone)",4.8697020497088085e-06
"categorical__State_Bihar, Odisha, West Bengal, Assam, Andhra Pradesh",4.564912955685923e-06
"categorical__Main Cause_cloud burst, landslide",4.526667426314547e-06
"categorical__Main Cause_heavy rains, floods (ravi river) & landslide at balogi",4.197994453373925e-06
categorical__Main Cause_heavy rains & floods (girija river),3.895341282649734e-06
categorical__Main Cause_severe flood (ghaghara),3.722267814229258e-06
"categorical__Main Cause_heavy rains & floods (kanthen, jawar river)",3.721502938774575e-06
"categorical__Main Cause_severe(ganga, yamuna,their tributaries, ghagra, rapti, gomti,burhi-gandak,betwa) )",3.694771347551772e-06
"categorical__Main Cause_severe(ganga , yamuna, ken shandrawal, rapti, sarju, gadri,ghagra )",3.6598942476946592e-06
"categorical__State_Uttar Pradesh, Bihar",3.6204672204716872e-06
"categorical__Main Cause_heavy rains, floods",3.0098314138957715e-06
categorical__Main Cause_cloud burst & flash floods,2.9709142729442383e-06
"categorical__State_Odisha, Bihar, Assam, West Bengal",2.5098820849802824e-06
categorical__State_Chandigarh,2.4743464329029588e-06
"categorical__State_Jammu and Kashmir, Punjab, Uttar Pradesh, Assam,  Arunachal Pradesh",2.3301431587930808e-06
"categorical__Main Cause_flood (gandaki,kosi)",2.1532311056840795e-06
categorical__State_Dadar&Nagar Haveli,2.015978548920018e-06
categorical__Main Cause_heavy rains & floods (siwani river),1.2281535351372228e-06
categorical__Main Cause_heavy rains & floods     (kaljani river),1.1011463303494276e-06
numeric__Event_Source_Available,0.0
